total,poorest_20perc,richest_20perc,diff,country_encoded,country_Albania,country_Algeria,country_Argentina,country_Bangladesh,country_Belize,country_Bhutan,country_Bosnia and Herzegovina,country_Costa Rica,country_Dominican Republic,country_El Salvador,country_Georgia,country_Ghana,country_Guyana,country_Honduras,country_Jamaica,country_Jordan,country_Kazakhstan,country_Kyrgyzstan,country_Lao People's Democratic Republic,country_Mexico,country_Mongolia,country_Montenegro,country_Morocco,country_Panama,country_Republic of Moldova,country_Serbia,country_Suriname,country_Syrian Arab Republic,country_Tajikistan,country_Thailand,country_The former Yugoslav Republic of Macedonia,country_Trinidad and Tobago,country_Tunisia,country_Turkmenistan,country_Uzbekistan,country_Viet Nam,country_Yemen
5,1,24,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,23,22,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,24,23,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,34,33,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,28,26,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,23,20,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3,40,37,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,3,23,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,31,28,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,4,61,57,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
